requested_name,canonical_name,category,file_path,source_page,source_domain,license_note,contains_people,format
磁石,bar-magnet,01_school_life,01_school_life/bar-magnet__01.jpg,,unknown,unknown (existing file),no,jpg
磁石,bar-magnet,01_school_life,01_school_life/bar-magnet__02.png,,unknown,unknown (existing file),no,png
黒板消し,blackboard-eraser,01_school_life,01_school_life/blackboard-eraser__01.jpg,https://commons.wikimedia.org/wiki/File:%22jericho!%22_written_on_board_for_jericho!_show.jpg,commons.wikimedia.org,Public domain,no,jpg
黒板消し,blackboard-eraser,01_school_life,01_school_life/blackboard-eraser__02.jpg,https://commons.wikimedia.org/wiki/File:National_MC-330E_20060630.jpg,commons.wikimedia.org,CC BY-SA 3.0,no,jpg
チョーク,chalk,01_school_life,01_school_life/chalk__01.png,https://commons.wikimedia.org/wiki/File:Classroom_under_a_thatched_roof_in_elementary_school_at_Ilorin.png,commons.wikimedia.org,Public domain,no,png
チョーク,chalk,01_school_life,01_school_life/chalk__02.jpg,https://commons.wikimedia.org/wiki/File:Hastings_County_Archives_OSD_1938-1939-98_(40899876151).jpg,commons.wikimedia.org,Public domain,no,jpg
時計,classroom-clock,01_school_life,01_school_life/classroom-clock__01.jpg,,unknown,unknown (existing file),no,jpg
時計,classroom-clock,01_school_life,01_school_life/classroom-clock__02.jpg,,unknown,unknown (existing file),no,jpg
コンパス,drawing-compass,01_school_life,01_school_life/drawing-compass__01.jpg,,unknown,unknown (existing file),no,jpg
コンパス,drawing-compass,01_school_life,01_school_life/drawing-compass__02.jpg,,unknown,unknown (existing file),no,jpg
消しゴム,eraser,01_school_life,01_school_life/eraser__01.jpg,,unknown,unknown (existing file),no,jpg
消しゴム,eraser,01_school_life,01_school_life/eraser__02.jpg,,unknown,unknown (existing file),no,jpg
フライパン,frying-pan,01_school_life,01_school_life/frying-pan__01.png,,unknown,unknown (existing file),no,png
フライパン,frying-pan,01_school_life,01_school_life/frying-pan__02.jpg,,unknown,unknown (existing file),no,jpg
宿題のプリント,homework-worksheet,01_school_life,01_school_life/homework-worksheet__01.svg,,unknown,unknown (existing file),no,svg
宿題のプリント,homework-worksheet,01_school_life,01_school_life/homework-worksheet__02.svg,,unknown,unknown (existing file),no,svg
上履き,indoor-school-shoes,01_school_life,01_school_life/indoor-school-shoes__01.jpg,https://commons.wikimedia.org/wiki/File:Sakuragaoka_High_School_students%27_indoor_shoes.JPG,commons.wikimedia.org,CC0,no,jpg
上履き,indoor-school-shoes,01_school_life,01_school_life/indoor-school-shoes__02.jpg,https://commons.wikimedia.org/wiki/File:Sakuragaoka_High_School_students%27_indoor_shoes_(1).JPG,commons.wikimedia.org,CC0,no,jpg
お弁当箱,lunch-box,01_school_life,01_school_life/lunch-box__01.jpg,,unknown,unknown (existing file),no,jpg
お弁当箱,lunch-box,01_school_life,01_school_life/lunch-box__02.jpg,,unknown,unknown (existing file),no,jpg
虫メガネ,magnifying-glass,01_school_life,01_school_life/magnifying-glass__01.jpg,https://commons.wikimedia.org/wiki/File:Magnifying_glass.jpg,commons.wikimedia.org,CC BY 2.5,no,jpg
虫メガネ,magnifying-glass,01_school_life,01_school_life/magnifying-glass__02.jpg,,unknown,unknown (existing file),no,jpg
パパの靴,mens-shoes,01_school_life,01_school_life/mens-shoes__01.jpg,,unknown,unknown (existing file),no,jpg
パパの靴,mens-shoes,01_school_life,01_school_life/mens-shoes__02.png,,unknown,unknown (existing file),no,png
ノート,notebook,01_school_life,01_school_life/notebook__01.jpg,,unknown,unknown (existing file),no,jpg
ノート,notebook,01_school_life,01_school_life/notebook__02.jpg,,unknown,unknown (existing file),no,jpg
絵の具,paint-set,01_school_life,01_school_life/paint-set__01.jpg,,unknown,unknown (existing file),no,jpg
絵の具,paint-set,01_school_life,01_school_life/paint-set__02.jpg,,unknown,unknown (existing file),no,jpg
鉛筆,pencil,01_school_life,01_school_life/pencil__01.jpg,,unknown,unknown (existing file),no,jpg
鉛筆,pencil,01_school_life,01_school_life/pencil__02.jpg,,unknown,unknown (existing file),no,jpg
